,ControlStation,magnitude,year,month,day,date,Measurement,meanValue,maxValue,minValue,unit
0,47,PM10,2019,12,1,2019-12-01,28079047_10_47_19_12_01,4.375,10.0,1.0,µg/m^3
1,18,CO,2019,12,1,2019-12-01,28079018_6_48_19_12_01,0.4125,0.6,0.3,µg/m^3
2,18,NO_2,2019,12,1,2019-12-01,28079018_8_8_19_12_01,27.25,52.0,10.0,µg/m^3
3,35,SO_2,2019,12,1,2019-12-01,28079035_1_38_19_12_01,16.708333333333332,21.0,13.0,µg/m^3
4,11,NO,2019,12,1,2019-12-01,28079011_7_8_19_12_01,3.9583333333333335,11.0,1.0,µg/m^3
5,38,NO,2019,12,1,2019-12-01,28079038_7_8_19_12_01,9.208333333333334,28.0,1.0,µg/m^3
6,38,SO_2,2019,12,1,2019-12-01,28079038_1_38_19_12_01,12.291666666666664,13.0,12.0,µg/m^3
7,36,NO,2019,12,1,2019-12-01,28079036_7_8_19_12_01,4.125,11.0,1.0,µg/m^3
8,8,PM2.5,2019,12,1,2019-12-01,28079008_9_47_19_12_01,4.5,9.0,1.0,µg/m^3
9,8,TOL,2019,12,1,2019-12-01,28079008_20_59_19_12_01,0.9,1.3,0.5,µg/m^3
10,35,CO,2019,12,1,2019-12-01,28079035_6_48_19_12_01,1.1208333333333331,1.3,1.0,µg/m^3
11,16,NOx,2019,12,1,2019-12-01,28079016_12_8_19_12_01,30.79166666666667,56.0,8.0,µg/m^3
12,36,CO,2019,12,1,2019-12-01,28079036_6_48_19_12_01,0.4124999999999999,1.7,0.2,µg/m^3
13,55,NO,2019,12,1,2019-12-01,28079055_7_8_19_12_01,5.25,18.0,1.0,µg/m^3
14,16,O_3,2019,12,1,2019-12-01,28079016_14_6_19_12_01,37.56208333333333,60.96,18.32,µg/m^3
15,35,NO,2019,12,1,2019-12-01,28079035_7_8_19_12_01,7.541666666666668,19.0,2.0,µg/m^3
16,55,NO_2,2019,12,1,2019-12-01,28079055_8_8_19_12_01,35.083333333333336,57.0,6.0,µg/m^3
17,8,EBE,2019,12,1,2019-12-01,28079008_35_59_19_12_01,0.791666666666667,0.9,0.7,µg/m^3
18,36,NO_2,2019,12,1,2019-12-01,28079036_8_8_19_12_01,31.5,56.0,12.0,µg/m^3
19,50,NOx,2019,12,1,2019-12-01,28079050_12_8_19_12_01,39.5,127.0,16.0,µg/m^3
20,55,TOL,2019,12,1,2019-12-01,28079055_20_59_19_12_01,1.5916666666666668,15.6,0.3,µg/m^3
21,35,O_3,2019,12,1,2019-12-01,28079035_14_6_19_12_01,36.67916666666667,53.85,18.92,µg/m^3
22,50,PM10,2019,12,1,2019-12-01,28079050_10_47_19_12_01,10.125,30.0,1.0,µg/m^3
23,8,NOx,2019,12,1,2019-12-01,28079008_12_8_19_12_01,52.41666666666666,83.0,21.0,µg/m^3
24,36,SO_2,2019,12,1,2019-12-01,28079036_1_38_19_12_01,12.875,24.0,6.0,µg/m^3
25,8,NO_2,2019,12,1,2019-12-01,28079008_8_8_19_12_01,40.333333333333336,62.0,18.0,µg/m^3
26,36,PM10,2019,12,1,2019-12-01,28079036_10_47_19_12_01,9.166666666666666,16.0,5.0,µg/m^3
27,8,TCH,2019,12,1,2019-12-01,28079008_42_2_19_12_01,1.6454166666666667,1.79,1.57,mg/m^3
28,8,NMHC,2019,12,1,2019-12-01,28079008_44_2_19_12_01,0.06541666666666669,0.08,0.04,mg/m^3
29,40,NO_2,2019,12,1,2019-12-01,28079040_8_8_19_12_01,30.33333333333333,57.0,15.0,µg/m^3
30,58,O_3,2019,12,1,2019-12-01,28079058_14_6_19_12_01,45.13,58.74,29.25,µg/m^3
31,18,NO,2019,12,1,2019-12-01,28079018_7_8_19_12_01,3.125,7.0,1.0,µg/m^3
32,35,NOx,2019,12,1,2019-12-01,28079035_12_8_19_12_01,42.875,71.0,21.0,µg/m^3
33,36,NOx,2019,12,1,2019-12-01,28079036_12_8_19_12_01,37.79166666666666,68.0,13.0,µg/m^3
34,50,NO_2,2019,12,1,2019-12-01,28079050_8_8_19_12_01,27.70833333333333,40.0,11.0,µg/m^3
35,35,NO_2,2019,12,1,2019-12-01,28079035_8_8_19_12_01,31.41666666666667,53.0,15.0,µg/m^3
36,8,CH_4,2019,12,1,2019-12-01,28079008_43_2_19_12_01,1.5795833333333331,1.72,1.53,mg/m^3
37,8,PM10,2019,12,1,2019-12-01,28079008_10_47_19_12_01,8.208333333333334,25.0,1.0,µg/m^3
38,60,NOx,2019,12,1,2019-12-01,28079060_12_8_19_12_01,28.08333333333333,47.0,8.0,µg/m^3
39,8,BEN,2019,12,1,2019-12-01,28079008_30_59_19_12_01,0.4083333333333334,0.6,0.2,µg/m^3
