,ControlStation,magnitude,year,month,day,date,Measurement,meanValue,maxValue,minValue,unit
0,18,Temperature,2019,12,1,2019-12-01,28079018_83_98_19_12_01,1.5833333333333333,6.0,1.0,ºC
1,4,Temperature,2019,12,1,2019-12-01,28079004_83_98_19_12_01,67.935,81.79,35.71,ºC
2,111,Temperature,2019,12,1,2019-12-01,28079111_83_98_19_12_01,9.583333333333334,13.0,7.0,ºC
3,54,Precipitation,2019,12,1,2019-12-01,28079054_89_98_19_12_01,21.79166666666667,54.0,4.0,l/m^2
4,103,Temperature,2019,12,1,2019-12-01,28079103_83_98_19_12_01,14.041666666666664,38.0,2.0,ºC
5,56,Temperature,2019,12,1,2019-12-01,28079056_83_98_19_12_01,7.291666666666668,26.0,2.0,ºC
6,38,Temperature,2019,12,1,2019-12-01,28079038_83_98_19_12_01,64.59541666666667,86.8,35.85,ºC
7,54,Temperature,2019,12,1,2019-12-01,28079054_83_98_19_12_01,0.05000000000000002,0.09,0.02,ºC
8,59,Precipitation,2019,12,1,2019-12-01,28079059_89_98_19_12_01,27.29166666666667,56.0,6.0,l/m^2
9,59,Temperature,2019,12,1,2019-12-01,28079059_83_98_19_12_01,1.53625,1.56,1.52,ºC
10,8,Temperature,2019,12,1,2019-12-01,28079008_83_98_19_12_01,16.583333333333332,36.0,4.0,ºC
11,35,Temperature,2019,12,1,2019-12-01,28079035_83_98_19_12_01,0.5375,2.1,0.1,ºC
12,112,Temperature,2019,12,1,2019-12-01,28079112_83_98_19_12_01,0.35416666666666674,0.5,0.3,ºC
13,108,Temperature,2019,12,1,2019-12-01,28079108_83_98_19_12_01,16.541666666666668,48.0,3.0,ºC
14,106,Precipitation,2019,12,1,2019-12-01,28079106_89_98_19_12_01,91.45833333333331,160.0,27.0,l/m^2
15,36,Temperature,2019,12,1,2019-12-01,28079036_83_98_19_12_01,2.125,8.0,1.0,ºC
16,106,Temperature,2019,12,1,2019-12-01,28079106_83_98_19_12_01,3.333333333333333,6.0,1.0,ºC
17,39,Precipitation,2019,12,1,2019-12-01,28079039_89_98_19_12_01,10.458333333333334,35.0,2.0,l/m^2
18,107,Temperature,2019,12,1,2019-12-01,28079107_83_98_19_12_01,13.125,40.0,3.0,ºC
19,24,Temperature,2019,12,1,2019-12-01,28079024_83_98_19_12_01,76.57291666666667,92.52,52.63,ºC
20,102,Temperature,2019,12,1,2019-12-01,28079102_83_98_19_12_01,29.5,139.0,4.0,ºC
21,107,Precipitation,2019,12,1,2019-12-01,28079107_89_98_19_12_01,59.47624999999999,69.89,46.36,l/m^2
22,109,Temperature,2019,12,1,2019-12-01,28079109_83_98_19_12_01,17.0,51.0,4.0,ºC
23,56,Precipitation,2019,12,1,2019-12-01,28079056_89_98_19_12_01,79.33916666666667,96.65,57.09,l/m^2
24,113,Temperature,2019,12,1,2019-12-01,28079113_83_98_19_12_01,9.708333333333334,15.0,4.0,ºC
25,115,Temperature,2019,12,1,2019-12-01,28079115_83_98_19_12_01,4.75,25.0,1.0,ºC
26,114,Temperature,2019,12,1,2019-12-01,28079114_83_98_19_12_01,81.08458333333334,92.81,60.79,ºC
27,103,Precipitation,2019,12,1,2019-12-01,28079103_89_98_19_12_01,13.75,34.0,3.0,l/m^2
28,24,Precipitation,2019,12,1,2019-12-01,28079024_89_98_19_12_01,4.0,14.0,1.0,l/m^2
29,110,Temperature,2019,12,1,2019-12-01,28079110_83_98_19_12_01,1.7083333333333333,4.0,1.0,ºC
30,108,Precipitation,2019,12,1,2019-12-01,28079108_89_98_19_12_01,0.1295833333333333,0.4,0.09,l/m^2
31,58,Temperature,2019,12,1,2019-12-01,28079058_83_98_19_12_01,8.125,11.0,6.0,ºC
32,102,Precipitation,2019,12,1,2019-12-01,28079102_89_98_19_12_01,2.0416666666666665,6.0,1.0,l/m^2
33,24,Precipitation,2019,12,2,2019-12-02,28079024_89_98_19_12_02,8.75,36.0,2.0,l/m^2
34,109,Temperature,2019,12,2,2019-12-02,28079109_83_98_19_12_02,14.125,44.0,2.0,ºC
35,102,Temperature,2019,12,2,2019-12-02,28079102_83_98_19_12_02,0.44166666666666665,5.4,0.1,ºC
36,54,Temperature,2019,12,2,2019-12-02,28079054_83_98_19_12_02,3.25,9.0,1.0,ºC
37,59,Precipitation,2019,12,2,2019-12-02,28079059_89_98_19_12_02,9.708333333333334,13.0,8.0,l/m^2
38,107,Temperature,2019,12,2,2019-12-02,28079107_83_98_19_12_02,17.0,48.0,4.0,ºC
39,113,Temperature,2019,12,2,2019-12-02,28079113_83_98_19_12_02,3.5416666666666665,8.0,1.0,ºC
40,24,Temperature,2019,12,2,2019-12-02,28079024_83_98_19_12_02,18.125,41.0,6.0,ºC
41,106,Precipitation,2019,12,2,2019-12-02,28079106_89_98_19_12_02,2.0,6.0,1.0,l/m^2
42,35,Temperature,2019,12,2,2019-12-02,28079035_83_98_19_12_02,83.8745833333333,102.1,58.51,ºC
43,18,Temperature,2019,12,2,2019-12-02,28079018_83_98_19_12_02,2.9166666666666665,6.0,1.0,ºC
44,103,Precipitation,2019,12,2,2019-12-02,28079103_89_98_19_12_02,0.2416666666666667,0.3,0.2,l/m^2
45,58,Temperature,2019,12,2,2019-12-02,28079058_83_98_19_12_02,11.208333333333336,50.0,3.0,ºC
46,108,Precipitation,2019,12,2,2019-12-02,28079108_89_98_19_12_02,22.25,52.0,4.0,l/m^2
47,8,Temperature,2019,12,2,2019-12-02,28079008_83_98_19_12_02,0.3416666666666666,0.5,0.3,ºC
48,106,Temperature,2019,12,2,2019-12-02,28079106_83_98_19_12_02,13.041666666666664,41.0,4.0,ºC
49,36,Temperature,2019,12,2,2019-12-02,28079036_83_98_19_12_02,5.166666666666667,28.0,1.0,ºC
50,108,Temperature,2019,12,2,2019-12-02,28079108_83_98_19_12_02,22.04166666666667,76.0,4.0,ºC
51,59,Temperature,2019,12,2,2019-12-02,28079059_83_98_19_12_02,0.3708333333333334,1.5,0.1,ºC
52,114,Temperature,2019,12,2,2019-12-02,28079114_83_98_19_12_02,2.875,7.0,1.0,ºC
53,102,Precipitation,2019,12,2,2019-12-02,28079102_89_98_19_12_02,21.166666666666668,50.0,8.0,l/m^2
